iter	RMSE
0	3010.202785
1	2787.879615
2	2582.444173
3	2403.975477
4	2244.591513
5	2104.12664
6	1981.280655
7	1871.466401
8	1775.25567
9	1690.397676
10	1617.392185
11	1550.126652
12	1492.49703
13	1441.6739
14	1400.170308
15	1361.157281
16	1325.802323
17	1297.005519
18	1271.241914
19	1247.437428
20	1225.42598
21	1206.111554
22	1190.128222
23	1174.496862
24	1160.751726
25	1149.312135
26	1138.470273
27	1127.771863
28	1115.194421
29	1105.025485
30	1097.767017
31	1091.302767
32	1083.791648
33	1077.525029
34	1072.88169
35	1067.922705
36	1063.009956
37	1057.291662
38	1052.687912
39	1048.907125
40	1044.737042
41	1040.666721
42	1035.828401
43	1032.07088
44	1028.109638
45	1025.757928
46	1023.31319
47	1019.135923
48	1017.099858
49	1014.61587
50	1011.310025
51	1006.81946
52	1004.658361
53	1001.779541
54	999.2636251
55	997.5959051
56	996.1451211
57	994.2432632
58	992.5222443
59	990.8918179
60	988.9488378
61	984.8565204
62	982.6443431
63	979.6434069
64	976.906696
65	975.210185
66	971.7626236
67	969.3146023
68	966.8223325
69	964.3621084
70	963.4684456
71	962.6441668
72	961.5086499
73	960.2178304
74	960.0034162
75	958.8589087
76	956.0361563
77	955.288587
78	951.5230921
79	949.7200721
80	946.8012743
81	945.6334643
82	944.3218939
83	943.1923084
84	942.487894
85	941.4650766
86	940.7069674
87	937.3760329
88	936.4040623
89	935.6655828
90	934.2255979
91	933.2884555
92	931.2783615
93	930.105297
94	929.3558068
95	927.7937123
96	926.9043944
97	926.6916365
98	925.4973517
99	924.1405847
100	923.4042982
101	921.1819128
102	920.6275028
103	919.6295908
104	918.7543203
105	918.0309326
106	916.906459
107	916.0567388
108	914.4451964
109	912.7808656
110	912.0041838
111	910.7287752
112	908.7540054
113	906.6879035
114	904.968476
115	904.8172459
116	904.1884178
117	903.2400021
118	902.4203928
119	902.3107723
120	901.1224231
121	899.5478947
122	899.1471712
123	897.5384484
124	896.7006339
125	895.9317481
126	893.5929918
127	892.6396627
128	891.3976543
129	891.242293
130	891.1393895
131	889.8050022
132	889.08198
133	888.0688977
134	886.8539314
135	885.9412224
136	884.7372409
137	883.5382126
138	882.6492155
139	882.1919123
140	880.9176926
141	879.8212637
142	879.1942977
143	878.3772975
144	877.6608294
145	876.7457527
146	875.9621885
147	875.2991331
148	874.278421
149	873.3397415
150	872.1032279
151	871.8271446
152	870.6507196
153	869.8178259
154	867.6614074
155	866.7501099
156	866.6651701
157	865.9358123
158	865.382447
159	865.1949153
160	865.1004043
161	864.4133232
162	863.7702683
163	862.1579574
164	861.6602291
165	861.4467749
166	860.7915176
167	859.8586306
168	859.251379
169	858.263038
170	856.7479796
171	856.3993497
172	855.6105324
173	855.2294275
174	854.5495227
175	854.0167824
176	852.896806
177	851.920652
178	851.3899035
179	850.6866244
180	850.2236299
181	849.6436329
182	849.5680604
183	848.834907
184	848.7744303
185	848.7102051
186	848.6610969
187	847.6091242
188	846.9747641
189	846.3844542
190	845.8391056
191	844.910154
192	844.6505532
193	843.6378637
194	843.0643538
195	842.9741277
196	842.5811183
197	841.9834701
198	841.1002969
199	840.3650403
200	840.014946
201	839.1949021
202	838.2528524
203	837.6059102
204	836.9013195
205	836.4691237
206	836.1613962
207	835.3367402
208	834.491546
209	834.1535411
210	833.7799747
211	833.3051422
212	832.7436453
213	832.1764333
214	831.8129991
215	831.1118796
216	830.1266968
217	829.3461474
218	829.0597077
219	828.406914
220	827.8852041
221	827.3167786
222	826.3276874
223	825.8022958
224	825.0559247
225	824.61174
226	824.2789264
227	823.6291944
228	823.102996
229	822.6404237
230	822.2791662
231	821.5374048
232	821.1053832
233	820.9650804
234	820.7973059
235	819.823134
236	819.5854125
237	819.4409218
238	819.1291597
239	818.5232974
240	818.0348282
241	817.3913473
242	816.5333157
243	816.3433458
244	815.7092188
245	815.1413238
246	814.3129414
247	813.5318673
248	812.9450117
249	812.5269736
250	812.2720952
251	811.7128124
252	811.2342037
253	810.8777372
254	810.5048783
255	810.35447
256	809.4978374
257	809.186524
258	808.9384245
259	808.4656818
260	807.8859378
261	807.2479681
262	806.6526015
263	805.5438747
264	805.465783
265	805.3106141
266	804.7874987
267	804.3055288
268	803.8805653
269	803.4608026
270	803.3066411
271	802.3983893
272	801.547028
273	800.8315697
274	800.6130165
275	800.3976612
276	799.9103979
277	799.2606592
278	798.7356982
279	798.2766132
280	797.8920705
281	797.6483492
282	797.3273507
283	797.0198455
284	796.7662446
285	796.0939305
286	795.5678272
287	794.2979004
288	794.209367
289	793.3962297
290	792.7688259
291	792.2347036
292	791.5408352
293	791.2840882
294	791.0951619
295	790.3087714
296	789.300687
297	788.7691747
298	788.3583679
299	788.319583
300	787.7565343
301	787.1812052
302	786.6777287
303	786.3274608
304	785.9640004
305	785.5942783
306	785.2137719
307	784.7431943
308	784.6536608
309	784.4024502
310	783.5536333
311	783.1130908
312	782.8081467
313	782.0732538
314	782.0203257
315	781.8389573
316	781.8057114
317	781.5343501
318	780.6976789
319	780.0888907
320	779.627918
321	779.2372833
322	778.8086326
323	778.5138294
324	777.7662622
325	777.6252913
326	776.9795162
327	776.753806
328	776.3014015
329	776.0456237
330	775.9520151
331	775.6741679
332	775.1171497
333	774.3711963
334	773.8507517
335	773.7357372
336	773.0068709
337	772.9524786
338	772.5201033
339	772.4411783
340	772.0378309
341	771.1664765
342	770.901147
343	770.3747356
344	769.4687249
345	769.1943885
346	768.9096487
347	768.4058911
348	768.2879139
349	768.0350635
350	767.5096324
351	766.9953146
352	766.6425372
353	766.2981838
354	765.7313658
355	765.4348525
356	765.1979106
357	764.8678209
358	764.7734568
359	763.8342413
360	763.3698574
361	763.3410108
362	762.9971429
363	762.2657583
364	761.9265115
365	761.3944303
366	760.9601723
367	760.7930346
368	760.4019125
369	759.8194631
370	759.6940122
371	759.5376186
372	759.4355378
373	759.0862243
374	758.7501468
375	758.0554835
376	757.2728995
377	757.0069251
378	756.4598852
379	755.9669092
380	755.6609844
381	755.1955397
382	754.6639493
383	754.4002413
384	754.3464787
385	753.8465001
386	753.7069742
387	753.3976713
388	752.675741
389	752.3280272
390	752.2217726
391	751.990961
392	751.2460684
393	750.9022772
394	750.3767937
395	750.276263
396	749.8517027
397	749.3096337
398	748.9077816
399	747.6841199
400	747.584208
401	747.1223201
402	746.7449333
403	746.6121016
404	746.5557863
405	746.4236033
406	746.2647289
407	745.6576325
408	745.4618428
409	744.8121664
410	744.1817135
411	744.1022466
412	743.7178494
413	743.1273396
414	742.7560957
415	742.1848294
416	741.9506483
417	741.7847745
418	741.5001683
419	741.2927561
420	740.823371
421	740.345379
422	740.096689
423	739.5232582
424	739.2073316
425	738.5283504
426	738.2040233
427	737.6712616
428	737.344154
429	736.9749998
430	736.4319997
431	735.9211789
432	735.6644309
433	735.2197411
434	735.1671527
435	734.752132
436	734.4851577
437	734.4246951
438	733.7921188
439	733.5168249
440	733.150328
441	732.8439123
442	732.6503146
443	732.4511593
444	732.2978768
445	731.9956959
446	731.6936407
447	731.4780732
448	731.3203808
449	730.9200927
450	730.7552553
451	730.3183148
452	729.8896249
453	729.7737392
454	729.3832988
455	729.1406759
456	728.7834383
457	728.4277592
458	728.1539062
459	727.6516632
460	727.3462637
461	727.1482889
462	726.5623959
463	726.4767115
464	726.4279208
465	726.2057412
