iter	Passed	Remaining
0	58	58009
1	83	41865
2	107	35768
3	135	33660
4	162	32424
5	189	31366
6	213	30308
7	233	28903
8	250	27622
9	269	26640
10	287	25868
11	305	25188
12	324	24652
13	343	24191
14	362	23771
15	382	23497
16	401	23212
17	421	23009
18	447	23091
19	472	23133
20	494	23048
21	512	22793
22	532	22605
23	549	22337
24	568	22175
25	587	22022
26	606	21860
27	626	21762
28	644	21586
29	663	21446
30	683	21351
31	702	21253
32	722	21161
33	739	21022
34	757	20885
35	777	20811
36	796	20743
37	819	20736
38	841	20745
39	861	20673
40	881	20618
41	900	20548
42	919	20468
43	938	20397
44	955	20278
45	973	20181
46	993	20147
47	1012	20083
48	1031	20024
49	1048	19926
50	1067	19870
51	1086	19812
52	1105	19754
53	1126	19742
54	1144	19656
55	1161	19582
56	1182	19556
57	1199	19487
58	1219	19456
59	1238	19400
60	1255	19332
61	1274	19289
62	1294	19248
63	1313	19206
64	1332	19167
65	1350	19113
66	1368	19057
67	1387	19013
68	1408	19006
69	1433	19038
70	1450	18981
71	1468	18933
72	1490	18931
73	1509	18894
74	1528	18853
75	1544	18783
76	1564	18751
77	1581	18697
78	1600	18654
79	1618	18617
80	1638	18592
81	1660	18586
82	1679	18553
83	1700	18541
84	1718	18494
85	1735	18447
86	1752	18393
87	1770	18352
88	1792	18345
89	1813	18333
90	1833	18310
91	1852	18285
92	1873	18271
93	1893	18245
94	1912	18214
95	1930	18176
96	1947	18133
97	1965	18093
98	1983	18052
99	2005	18047
100	2024	18016
101	2040	17965
102	2058	17931
103	2078	17906
104	2097	17882
105	2117	17857
106	2135	17824
107	2153	17783
108	2173	17764
109	2196	17769
110	2214	17739
111	2234	17716
112	2251	17676
113	2271	17653
114	2289	17620
115	2307	17588
116	2326	17555
117	2343	17518
118	2361	17482
119	2381	17464
120	2400	17436
121	2426	17466
122	2444	17426
123	2470	17455
124	2491	17439
125	2509	17409
126	2528	17380
127	2547	17353
128	2566	17327
129	2585	17300
130	2605	17284
131	2624	17261
132	2642	17224
133	2659	17189
134	2680	17173
135	2698	17145
136	2721	17146
137	2738	17105
138	2756	17073
139	2775	17046
140	2793	17020
141	2812	16996
142	2833	16982
143	2850	16943
144	2869	16921
145	2890	16906
146	2908	16879
147	2927	16854
148	2944	16819
149	2963	16795
150	2985	16787
151	3003	16757
152	3022	16734
153	3039	16695
154	3057	16669
155	3076	16644
156	3094	16617
157	3114	16597
158	3132	16568
159	3149	16534
160	3168	16513
161	3190	16502
162	3209	16480
163	3228	16458
164	3245	16423
165	3263	16396
166	3282	16370
167	3303	16359
168	3322	16336
169	3341	16312
170	3358	16283
171	3377	16257
172	3396	16235
173	3425	16260
174	3443	16235
175	3463	16213
176	3484	16202
177	3503	16179
178	3522	16156
179	3539	16125
180	3558	16102
181	3576	16076
182	3596	16056
183	3614	16031
184	3633	16006
185	3651	15980
186	3669	15954
187	3689	15933
188	3707	15910
189	3726	15885
190	3742	15852
191	3760	15826
192	3780	15807
193	3802	15799
194	3821	15777
195	3839	15748
196	3856	15720
197	3875	15697
198	3894	15675
199	3912	15650
200	3931	15628
201	3949	15602
202	3969	15583
203	3988	15562
204	4007	15541
205	4025	15516
206	4045	15497
207	4062	15469
208	4084	15460
209	4106	15448
210	4125	15425
211	4142	15396
212	4160	15370
213	4179	15352
214	4201	15338
215	4219	15315
216	4236	15287
217	4255	15265
218	4273	15240
219	4292	15218
220	4312	15200
221	4332	15183
222	4351	15160
223	4369	15137
224	4388	15116
225	4407	15095
226	4431	15092
227	4457	15091
228	4478	15077
229	4498	15058
230	4517	15038
231	4536	15015
232	4553	14989
233	4575	14977
234	4593	14954
235	4615	14942
236	4633	14915
237	4652	14894
238	4670	14871
239	4689	14850
240	4707	14824
241	4726	14804
242	4743	14778
243	4763	14758
244	4781	14736
245	4801	14715
246	4820	14696
247	4838	14671
248	4857	14651
249	4876	14628
250	4895	14609
251	4915	14589
252	4932	14563
253	4950	14539
254	4968	14514
255	4989	14501
256	5011	14489
257	5028	14462
258	5047	14440
259	5066	14419
260	5085	14398
261	5104	14377
262	5125	14361
263	5145	14344
264	5164	14323
265	5183	14303
266	5203	14286
267	5222	14264
268	5239	14238
269	5257	14215
270	5278	14199
271	5296	14176
272	5316	14158
273	5335	14136
274	5355	14118
275	5373	14095
276	5397	14089
277	5421	14081
278	5439	14055
279	5457	14033
280	5478	14017
281	5496	13995
282	5515	13973
283	5532	13948
284	5550	13924
285	5568	13900
286	5586	13879
287	5606	13859
288	5624	13837
289	5643	13817
290	5662	13795
